Parent,uniCode,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,102-0-0-0,C,backend.commands.functioncmds.c,23,1852,22,353,81,160,193,0,8,73,81,"[213, 218, 236, 239, 241, 245, 253, 256, 262, 269, 273, 276, 279, 281, 283, 288, 296, 298, 300, 310, 313, 315]"
102-0-0-0,102-1-0-0,F,compute_return_type,4,67,1,14,1,5,9,0,0,1,1,[213]
102-1-0-0,102-1-213-1,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
102-1-0-0,102-1-213-2,B,if-else/switch,12,59,2,8,0,2,6,0,0,0,0,"[214, 216]"
102-1-213-2,102-1-214-1,B,if,1,13,1,0,0,0,0,0,0,0,0,[215]
102-1-214-1,102-1-215-1,B,if-else/switch,0,10,0,0,0,0,0,0,0,0,0,[]
102-1-213-2,102-1-214-2,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
102-1-213-2,102-1-214-3,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
102-1-213-2,102-1-216-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-1-213-2,102-1-216-2,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
102-1-213-2,102-1-216-3,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
102-1-213-2,102-1-216-4,D,Assignment,1,4,0,1,0,0,1,0,0,0,0,[]
102-1-213-2,102-1-216-5,D,Assignment,3,2,0,3,0,2,1,0,0,0,0,[]
102-1-213-2,102-1-216-6,D,Assignment,1,2,0,1,0,0,1,0,0,0,0,[]
102-1-213-2,102-1-216-7,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
102-1-213-2,102-1-216-8,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-1-213-2,102-1-216-9,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-1-0-0,102-1-213-3,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-1-0-0,102-1-213-4,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-0-0-0,102-2-0-0,F,examine_parameter_list,20,211,1,50,1,16,34,0,0,1,1,[218]
102-2-0-0,102-2-218-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-2-0-0,102-2-218-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-2-0-0,102-2-218-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-2-0-0,102-2-218-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-2-0-0,102-2-218-5,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-2-0-0,102-2-218-6,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-2-0-0,102-2-218-7,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-2-0-0,102-2-218-8,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-2-0-0,102-2-218-9,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-2-0-0,102-2-218-10,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-2-0-0,102-2-218-11,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-2-0-0,102-2-218-12,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-2-0-0,102-2-218-13,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-2-0-0,102-2-218-14,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-2-0-0,102-2-218-15,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-2-0-0,102-2-218-16,L,for/while,14,149,1,22,1,8,14,0,0,1,1,[219]
102-2-218-16,102-2-219-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-2-218-16,102-2-219-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-2-218-16,102-2-219-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-2-218-16,102-2-219-4,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
102-2-218-16,102-2-219-5,B,if-else/switch,4,27,2,1,0,0,1,0,0,0,0,"[220, 222]"
102-2-219-5,102-2-220-1,B,if,1,14,1,0,0,0,0,0,0,0,0,[221]
