Parent,uniCode,Tag,Name,num_childs,sizeLOC,code_location,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,94-0-0-0,C,backend.commands.comment.c,29,1477,1,28,264,75,131,133,0,23,52,75,"[2619, 2645, 2653, 2661, 2664, 2666, 2672, 2674, 2677, 2680, 2682, 2684, 2690, 2692, 2694, 2696, 2698, 2700, 2704, 2706, 2708, 2712, 2716, 2721, 2723, 2725, 2727, 2729]"
94-0-0-0,94-1-0-0,F,CommentObject,1,78,102,1,1,0,0,1,0,0,0,0,[2619]
94-1-0-0,94-1-2619-1,B,if-else/switch,24,78,102,24,1,0,0,1,0,0,0,0,"[2620, 2621, 2622, 2623, 2624, 2625, 2626, 2627, 2628, 2629, 2630, 2631, 2632, 2633, 2634, 2635, 2636, 2637, 2638, 2639, 2640, 2641, 2642, 2643]"
94-1-2619-1,94-1-2620-1,D,Assignment,1,1,108,0,3,1,3,0,0,1,0,1,[]
94-1-2619-1,94-1-2621-1,D,Assignment,1,1,111,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2622-1,D,Assignment,1,1,114,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2623-1,D,Assignment,1,1,117,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2624-1,D,Assignment,1,1,120,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2625-1,D,Assignment,1,1,123,0,3,1,3,0,0,1,0,1,[]
94-1-2619-1,94-1-2626-1,D,Assignment,1,1,126,0,3,1,3,0,0,1,0,1,[]
94-1-2619-1,94-1-2627-1,D,Assignment,1,1,129,0,3,1,3,0,0,1,0,1,[]
94-1-2619-1,94-1-2628-1,D,Assignment,1,1,132,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2629-1,D,Assignment,1,1,135,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2630-1,D,Assignment,1,1,138,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2631-1,D,Assignment,1,1,141,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2632-1,D,Assignment,1,1,144,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2633-1,D,Assignment,1,1,147,0,3,1,3,0,0,1,0,1,[]
94-1-2619-1,94-1-2634-1,D,Assignment,1,1,150,0,3,1,3,0,0,1,0,1,[]
94-1-2619-1,94-1-2635-1,D,Assignment,1,1,153,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2636-1,D,Assignment,1,1,156,0,3,1,3,0,0,1,0,1,[]
94-1-2619-1,94-1-2637-1,D,Assignment,1,1,159,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2638-1,D,Assignment,1,1,162,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2639-1,D,Assignment,1,1,165,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2640-1,D,Assignment,1,1,168,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2641-1,D,Assignment,1,1,171,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2642-1,D,Assignment,1,1,174,0,2,1,2,0,0,1,0,1,[]
94-1-2619-1,94-1-2643-1,D,Assignment,1,2,177,0,1,0,0,1,0,0,0,0,[]
94-0-0-0,94-2-0-0,F,CreateComments,12,86,194,1,33,6,17,16,0,0,6,6,[2645]
94-2-0-0,94-2-2645-1,D,Assignment,1,1,198,0,1,0,0,1,0,0,0,0,[]
94-2-0-0,94-2-2645-2,B,if,0,2,205,0,0,0,0,0,0,0,0,0,[]
94-2-0-0,94-2-2645-3,B,if,6,13,209,1,13,0,6,7,0,0,0,0,[2646]
94-2-2645-3,94-2-2646-1,L,for/while,2,5,211,1,4,0,2,2,0,0,0,0,[2647]
94-2-2646-1,94-2-2647-1,D,Assignment,2,1,213,0,2,0,1,1,0,0,0,0,[]
94-2-2646-1,94-2-2647-2,D,Assignment,2,1,214,0,2,0,1,1,0,0,0,0,[]
94-2-2645-3,94-2-2646-2,D,Assignment,1,1,216,0,1,0,0,1,0,0,0,0,[]
94-2-2645-3,94-2-2646-3,D,Assignment,2,1,217,0,2,0,1,1,0,0,0,0,[]
94-2-2645-3,94-2-2646-4,D,Assignment,2,1,218,0,2,0,1,1,0,0,0,0,[]
94-2-2645-3,94-2-2646-5,D,Assignment,2,1,219,0,2,0,1,1,0,0,0,0,[]
94-2-2645-3,94-2-2646-6,D,Assignment,2,1,220,0,2,0,1,1,0,0,0,0,[]
94-2-0-0,94-2-2645-4,D,Assignment,1,4,225,0,1,0,0,1,0,0,0,0,[]
94-2-0-0,94-2-2645-5,D,Assignment,1,4,229,0,1,0,0,1,0,0,0,0,[]
94-2-0-0,94-2-2645-6,D,Assignment,1,4,233,0,1,0,0,1,0,0,0,0,[]
94-2-0-0,94-2-2645-7,D,Assignment,2,1,238,0,1,1,0,1,0,0,1,1,[]
94-2-0-0,94-2-2645-8,D,Assignment,2,2,240,0,2,1,1,1,0,0,1,1,[]
94-2-0-0,94-2-2645-9,L,for/while,1,15,243,1,7,1,6,1,0,0,1,1,[2648]
94-2-2645-9,94-2-2648-1,B,if-else/switch,2,8,247,1,7,1,6,1,0,0,1,1,[2649]
94-2-2648-1,94-2-2649-1,D,Assignment,5,2,251,0,5,0,4,1,0,0,0,0,[]
94-2-2648-1,94-2-2649-2,D,Assignment,1,1,253,0,2,1,2,0,0,0,1,1,[]
94-2-0-0,94-2-2645-10,D,Assignment,1,1,259,0,0,1,0,0,0,0,1,1,[]
94-2-0-0,94-2-2645-11,B,if,2,6,263,1,4,1,3,1,0,0,1,1,[2650]
94-2-2645-11,94-2-2650-1,D,Assignment,3,2,265,0,3,0,2,1,0,0,0,0,[]
94-2-2645-11,94-2-2650-2,D,Assignment,1,1,267,0,1,1,1,0,0,0,1,1,[]
94-2-0-0,94-2-2645-12,B,if,2,5,271,1,2,1,1,1,0,0,1,1,[2651]
94-2-2645-12,94-2-2651-1,D,Assignment,1,1,273,0,1,1,1,0,0,0,1,1,[]
94-2-2645-12,94-2-2651-2,D,Assignment,1,1,274,0,1,0,0,1,0,0,0,0,[]
94-0-0-0,94-3-0-0,F,CreateSharedComments,11,81,294,1,30,6,16,14,0,0,6,6,[2653]
94-3-0-0,94-3-2653-1,D,Assignment,1,1,298,0,1,0,0,1,0,0,0,0,[]
94-3-0-0,94-3-2653-2,B,if,0,2,305,0,0,0,0,0,0,0,0,0,[]
94-3-0-0,94-3-2653-3,B,if,5,12,309,1,11,0,5,6,0,0,0,0,[2654]
94-3-2653-3,94-3-2654-1,L,for/while,2,5,311,1,4,0,2,2,0,0,0,0,[2655]
94-3-2654-1,94-3-2655-1,D,Assignment,2,1,313,0,2,0,1,1,0,0,0,0,[]
94-3-2654-1,94-3-2655-2,D,Assignment,2,1,314,0,2,0,1,1,0,0,0,0,[]
94-3-2653-3,94-3-2654-2,D,Assignment,1,1,316,0,1,0,0,1,0,0,0,0,[]
94-3-2653-3,94-3-2654-3,D,Assignment,2,1,317,0,2,0,1,1,0,0,0,0,[]
94-3-2653-3,94-3-2654-4,D,Assignment,2,1,318,0,2,0,1,1,0,0,0,0,[]
94-3-2653-3,94-3-2654-5,D,Assignment,2,1,319,0,2,0,1,1,0,0,0,0,[]
