uniCode,parent,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_of_Code_Blocks
115-0-0-0,,C,backend.commands.tsearchcmds.c,34,2244,33,498,128,206,292,0,13,115,128,"[1517, 1525, 1528, 1532, 1538, 1540, 1542, 1544, 1548, 1553, 1555, 1561, 1563, 1567, 1571, 1576, 1579, 1584, 1586, 1592, 1594, 1596, 1601, 1607, 1609, 1615, 1618, 1622, 1624, 1629, 1644, 1651, 1655]"
115-1-0-0,115-0-0-0,F,get_ts_parser_func,6,47,1,7,1,2,5,0,0,1,1,[1517]
115-1-1517-1,115-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-1-1517-2,115-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-1-1517-3,115-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-1-1517-4,115-1-0-0,B,if-else/switch,7,29,6,1,0,0,1,0,0,0,0,"[1518, 1519, 1520, 1521, 1522, 1523]"
115-1-1518-1,115-1-1517-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-1-1519-1,115-1-1517-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-1-1519-2,115-1-1517-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-1-1520-1,115-1-1517-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-1-1521-1,115-1-1517-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-1-1521-2,115-1-1517-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-1-1523-1,115-1-1517-4,D,Assignment,1,2,0,1,0,0,1,0,0,0,0,[]
115-1-1517-5,115-1-0-0,D,Assignment,2,1,0,3,1,2,1,0,0,1,1,[]
115-1-1517-6,115-1-0-0,B,if,0,6,0,0,0,0,0,0,0,0,0,[]
115-2-0-0,115-0-0-0,F,makeParserDependencies,14,35,1,20,0,6,14,0,0,0,0,[1525]
115-2-1525-1,115-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-2-1525-2,115-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-2-1525-3,115-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-2-1525-4,115-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-2-1525-5,115-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
115-2-1525-6,115-2-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
